Time	Open	High	Low	Close	Volume
2018-02-19 00:00:00	16.64	16.724	16.605	16.648	1912
2018-02-20 00:00:00	16.647	16.667	16.413	16.462	3344
2018-02-21 00:00:00	16.462	16.76	16.381	16.518	3211
2018-02-22 00:00:00	16.519	16.678	16.389	16.594	2629
2018-02-23 00:00:00	16.595	16.631	16.487	16.495	2519
2018-02-25 00:00:00	16.495	16.527	16.478	16.489	134
2018-02-26 00:00:00	16.49	16.76	16.468	16.629	2994
2018-02-27 00:00:00	16.629	16.689	16.324	16.415	2794
2018-02-28 00:00:00	16.415	16.501	16.345	16.398	2245
2018-03-01 00:00:00	16.398	16.541	16.147	16.458	3880
2018-03-02 00:00:00	16.453	16.569	16.378	16.506	2690
2018-03-04 00:00:00	16.514	16.529	16.47	16.515	151
2018-03-05 00:00:00	16.51	16.59	16.349	16.425	2068
2018-03-06 00:00:00	16.424	16.853	16.397	16.77	2843
2018-03-07 00:00:00	16.775	16.799	16.415	16.476	2684
2018-03-08 00:00:00	16.475	16.561	16.416	16.477	2524
2018-03-09 00:00:00	16.478	16.679	16.337	16.573	2683
2018-03-11 00:00:00	16.593	16.602	16.547	16.591	60
2018-03-12 00:00:00	16.594	16.6	16.425	16.548	1659
2018-03-13 00:00:00	16.548	16.659	16.415	16.585	2359
2018-03-14 00:00:00	16.581	16.649	16.5	16.553	2181
2018-03-15 00:00:00	16.555	16.569	16.363	16.39	1374
2018-03-16 00:00:00	16.393	16.492	16.21	16.32	1335
2018-03-18 00:00:00	16.301	16.329	16.268	16.302	57
2018-03-19 00:00:00	16.303	16.35	16.222	16.318	2006
2018-03-20 00:00:00	16.318	16.34	16.114	16.178	1618
2018-03-21 00:00:00	16.178	16.641	16.175	16.538	3630
2018-03-22 00:00:00	16.537	16.603	16.331	16.443	2890
2018-03-23 00:00:00	16.442	16.662	16.432	16.549	3168
2018-03-25 00:00:00	16.581	16.65	16.525	16.608	44
2018-03-26 00:00:00	16.608	16.781	16.521	16.703	2251
2018-03-27 00:00:00	16.698	16.797	16.466	16.532	2469
2018-03-28 00:00:00	16.53	16.558	16.24	16.306	2053
2018-03-29 00:00:00	16.305	16.359	16.185	16.344	1669
2018-04-01 00:00:00	16.344	16.41	16.333	16.384	115
2018-04-02 00:00:00	16.384	16.672	16.377	16.583	2063
2018-04-03 00:00:00	16.582	16.611	16.349	16.408	1812
2018-04-04 00:00:00	16.413	16.524	16.241	16.302	2586
2018-04-05 00:00:00	16.301	16.423	16.178	16.409	2046
2018-04-06 00:00:00	16.408	16.489	16.257	16.365	2843
2018-04-08 00:00:00	16.394	16.425	16.343	16.398	31
2018-04-09 00:00:00	16.399	16.548	16.313	16.484	1219
2018-04-10 00:00:00	16.495	16.645	16.425	16.575	235
2018-04-11 00:00:00	16.583	16.865	16.522	16.653	516
2018-04-12 00:00:00	16.668	16.687	16.435	16.477	905
2018-04-13 00:00:00	16.477	16.678	16.454	16.633	1384
2018-04-15 00:00:00	16.659	16.662	16.559	16.623	155
2018-04-16 00:00:00	16.624	16.765	16.545	16.691	1427
2018-04-17 00:00:00	16.69	16.797	16.579	16.757	1475
2018-04-18 00:00:00	16.758	17.254	16.715	17.194	2016
2018-04-19 00:00:00	17.196	17.348	17.082	17.222	2500
2018-04-20 00:00:00	17.225	17.247	17.035	17.085	1421
2018-04-22 00:00:00	17.083	17.107	17.056	17.075	82
2018-04-23 00:00:00	17.077	17.102	16.582	16.637	1914
2018-04-24 00:00:00	16.636	16.748	16.557	16.729	1767
2018-04-25 00:00:00	16.728	16.728	16.495	16.57	2010
2018-04-26 00:00:00	16.568	16.611	16.413	16.536	1797
2018-04-27 00:00:00	16.536	16.559	16.427	16.484	1394
2018-04-29 00:00:00	16.49	16.518	16.476	16.514	28
2018-04-30 00:00:00	16.514	16.534	16.192	16.308	1382
2018-05-01 00:00:00	16.312	16.333	16.045	16.176	1371
2018-05-02 00:00:00	16.177	16.52	16.176	16.384	1822
2018-05-03 00:00:00	16.385	16.579	16.35	16.44	1602
2018-05-04 00:00:00	16.44	16.513	16.346	16.496	1203
2018-05-06 00:00:00	16.508	16.524	16.488	16.501	38
2018-05-07 00:00:00	16.501	16.559	16.397	16.493	1310
2018-05-08 00:00:00	16.493	16.515	16.307	16.487	1958
2018-05-09 00:00:00	16.49	16.613	16.341	16.476	1763
2018-05-10 00:00:00	16.476	16.742	16.466	16.698	1852
2018-05-11 00:00:00	16.694	16.828	16.613	16.619	1367
2018-05-13 00:00:00	16.66	16.692	16.648	16.69	35
2018-05-14 00:00:00	16.686	16.728	16.49	16.52	1257
2018-05-15 00:00:00	16.519	16.546	16.195	16.27	1843
2018-05-16 00:00:00	16.266	16.416	16.179	16.371	1453
2018-05-17 00:00:00	16.362	16.486	16.321	16.418	1184
2018-05-18 00:00:00	16.413	16.46	16.356	16.41	1093
2018-05-20 00:00:00	16.406	16.452	16.403	16.438	63
2018-05-21 00:00:00	16.438	16.519	16.259	16.499	1335
2018-05-22 00:00:00	16.498	16.661	16.441	16.55	1228
2018-05-23 00:00:00	16.55	16.575	16.31	16.465	1945
2018-05-24 00:00:00	16.464	16.687	16.397	16.647	1244
2018-05-25 00:00:00	16.641	16.703	16.457	16.457	1499
2018-05-27 00:00:00	16.468	16.492	16.454	16.484	37
2018-05-28 00:00:00	16.485	16.499	16.421	16.475	1087
2018-05-29 00:00:00	16.478	16.498	16.303	16.395	2230
2018-05-30 00:00:00	16.395	16.548	16.308	16.503	1446
2018-05-31 00:00:00	16.504	16.587	16.382	16.431	1648
2018-06-01 00:00:00	16.414	16.495	16.305	16.386	1536
2018-06-03 00:00:00	16.388	16.41	16.381	16.394	30
2018-06-04 00:00:00	16.394	16.535	16.361	16.4	1300
2018-06-05 00:00:00	16.4	16.525	16.355	16.49	1416
2018-06-06 00:00:00	16.489	16.728	16.484	16.674	1339
2018-06-07 00:00:00	16.673	16.892	16.635	16.721	1808
2018-06-08 00:00:00	16.714	16.821	16.613	16.745	1504
2018-06-10 00:00:00	16.763	16.777	16.732	16.753	38
2018-06-11 00:00:00	16.751	16.942	16.741	16.896	1346
2018-06-12 00:00:00	16.896	16.948	16.742	16.84	1353
2018-06-13 00:00:00	16.841	17.101	16.793	17.015	1670
2018-06-14 00:00:00	17.017	17.307	16.924	17.164	3084
2018-06-15 00:00:00	17.161	17.244	16.446	16.525	3735
2018-06-17 00:00:00	16.541	16.574	16.526	16.568	99
2018-06-18 00:00:00	16.567	16.621	16.41	16.52	2697
2018-06-19 00:00:00	16.52	16.543	16.23	16.31	3000
2018-06-20 00:00:00	16.31	16.362	16.244	16.308	2820
2018-06-21 00:00:00	16.308	16.351	16.189	16.315	3195
2018-06-22 00:00:00	16.316	16.477	16.301	16.411	2805
2018-06-24 00:00:00	16.441	16.483	16.425	16.469	73
2018-06-25 00:00:00	16.468	16.475	16.278	16.316	3169
2018-06-26 00:00:00	16.317	16.35	16.141	16.27	3350
2018-06-27 00:00:00	16.27	16.293	15.959	16.089	3751
2018-06-28 00:00:00	16.089	16.124	15.912	16.005	3761
2018-06-29 00:00:00	16.006	16.155	15.954	16.064	3636
2018-07-01 00:00:00	16.059	16.118	16.056	16.106	61
2018-07-02 00:00:00	16.1	16.115	15.76	15.848	3135
2018-07-03 00:00:00	15.848	16.033	15.775	16.024	2975
2018-07-04 00:00:00	16.023	16.142	15.984	16.075	2154
2018-07-05 00:00:00	16.075	16.091	15.921	16.044	3148
2018-07-06 00:00:00	16.044	16.091	15.94	15.998	2313
2018-07-08 00:00:00	16.029	16.058	16.024	16.053	61
2018-07-09 00:00:00	16.057	16.204	16.031	16.106	2341
2018-07-10 00:00:00	16.105	16.155	15.889	16.006	2824
2018-07-11 00:00:00	16.006	16.015	15.764	15.804	3514
2018-07-12 00:00:00	15.8	15.986	15.75	15.931	2615
2018-07-13 00:00:00	15.931	15.981	15.66	15.781	2813
2018-07-15 00:00:00	15.762	15.819	15.762	15.805	25
2018-07-16 00:00:00	15.806	15.868	15.734	15.789	2216
2018-07-17 00:00:00	15.787	15.854	15.55	15.563	3160
2018-07-18 00:00:00	15.563	15.605	15.385	15.552	2657
2018-07-19 00:00:00	15.552	15.566	15.169	15.316	4126
2018-07-20 00:00:00	15.315	15.534	15.231	15.481	3587
2018-07-22 00:00:00	15.495	15.531	15.476	15.52	70
2018-07-23 00:00:00	15.523	15.551	15.34	15.375	2979
2018-07-24 00:00:00	15.374	15.588	15.32	15.479	2991
2018-07-25 00:00:00	15.481	15.622	15.437	15.613	3303
2018-07-26 00:00:00	15.612	15.656	15.359	15.404	2934
2018-07-27 00:00:00	15.404	15.529	15.318	15.454	2741
2018-07-29 00:00:00	15.485	15.502	15.46	15.48	31
2018-07-30 00:00:00	15.479	15.535	15.389	15.494	2084
2018-07-31 00:00:00	15.494	15.6	15.353	15.509	2809
2018-08-01 00:00:00	15.505	15.524	15.36	15.393	2871
2018-08-02 00:00:00	15.393	15.465	15.275	15.309	3213
2018-08-03 00:00:00	15.309	15.544	15.235	15.372	3133
2018-08-05 00:00:00	15.41	15.433	15.4	15.43	55
2018-08-06 00:00:00	15.428	15.482	15.265	15.31	2503
2018-08-07 00:00:00	15.31	15.479	15.294	15.388	2405
2018-08-08 00:00:00	15.388	15.458	15.276	15.41	2577
2018-08-09 00:00:00	15.413	15.503	15.356	15.426	2652
2018-08-10 00:00:00	15.427	15.438	15.265	15.271	3670
2018-08-12 00:00:00	15.301	15.324	15.292	15.307	8
2018-08-13 00:00:00	15.312	15.312	14.954	14.988	3149
2018-08-14 00:00:00	14.987	15.102	14.978	15.033	2892
2018-08-15 00:00:00	15.035	15.043	14.357	14.427	3871
2018-08-16 00:00:00	14.429	14.827	14.326	14.66	4424
2018-08-17 00:00:00	14.659	14.806	14.583	14.771	3576
2018-08-19 00:00:00	14.747	14.779	14.74	14.775	63
2018-08-20 00:00:00	14.773	14.841	14.638	14.759	2944
2018-08-21 00:00:00	14.762	14.837	14.709	14.772	2722
2018-08-22 00:00:00	14.772	14.869	14.683	14.721	2955
2018-08-23 00:00:00	14.714	14.726	14.466	14.499	2996
